HG00290	M	EUR
HG00320	F	EUR
HG00321	M	EUR
HG00329	M	EUR
HG00350	F	EUR
HG00408	F	EAS
HG00597	F	EAS
HG00609	M	EAS
HG00639	F	AMR
HG01081	F	AMR
HG01255	M	AMR
HG01346	F	AMR
HG01433	M	AMR
HG01496	F	AMR
HG01786	F	EUR
HG01975	F	AMR
HG01993	F	AMR
HG02004	F	AMR
HG02040	M	EAS
HG02071	M	EAS
HG02132	M	EAS
HG02135	M	EAS
HG02280	F	AFR
HG02293	F	AMR
HG02392	M	EAS
HG02572	M	AFR
HG02583	F	AFR
HG02602	M	SAS
HG02630	F	AFR
HG02698	M	SAS
HG02723	F	AFR
HG02818	F	AFR
HG02922	F	AFR
HG02984	M	AFR
HG03017	M	SAS
HG03209	M	AFR
HG03453	F	AFR
HG03521	M	AFR
HG03710	M	SAS
HG03804	F	SAS
HG03816	F	SAS
HG04157	M	SAS
HG04228	M	SAS
NA18505	F	AFR
NA18508	F	AFR
NA18608	M	EAS
NA18620	M	EAS
NA18948	M	EAS
NA18952	M	EAS
NA18960	M	EAS
NA18974	M	EAS
NA19240	F	AFR
NA19682	M	AMR
NA19776	F	AMR
NA19835	F	AFR
NA19909	F	AFR
NA20129	F	AFR
NA20282	F	AFR
NA20346	M	AFR
NA20762	M	EUR
NA20806	M	EUR
NA20809	M	EUR
NA20870	M	SAS
NA21093	M	SAS
NA21106	F	SAS
NA21110	F	SAS
NA21309	F	AFR
