sample	superpopulation	population	mean_depth	n_all	n_lt34	n_le7	n_le3	n_single
HG00290	EUR	FIN	33.51	12980	6629	1900	893	378
HG00320	EUR	FIN	31.56	13265	6909	1918	962	390
HG00321	EUR	FIN	33.3	12830	6561	1811	894	387
HG00329	EUR	FIN	43.97	13162	6758	1806	875	347
HG00350	EUR	FIN	34.13	13165	6831	1903	935	360
HG00408	EAS	CHS	38.97	12875	6575	2105	1111	475
HG00597	EAS	CHS	41.53	13075	6718	2088	1099	472
HG00609	EAS	CHS	40.72	12844	6543	2095	1145	532
HG00639	AMR	PUR	35.26	13348	7125	2576	1427	622
HG01081	AMR	PUR	35.1	13553	7223	2434	1309	532
HG01255	AMR	CLM	39.85	13384	7107	2271	1205	481
HG01346	AMR	CLM	35.36	12950	6772	2290	1254	535
HG01433	AMR	CLM	40.34	13052	6824	2332	1253	529
HG01496	AMR	CLM	38.78	13333	6988	2337	1242	563
HG01786	EUR	IBS	37.3	13275	6899	1981	957	335
HG01975	AMR	PEL	37.92	12776	6596	2202	1220	569
HG01993	AMR	PEL	40.83	12874	6541	1903	991	405
HG02004	AMR	PEL	39.75	12743	6468	2016	1059	397
HG02040	EAS	KHV	40.15	13005	6664	2099	1106	484
HG02071	EAS	KHV	40.28	12863	6542	2029	1067	482
HG02132	EAS	KHV	38.53	12974	6768	2196	1181	529
HG02135	EAS	KHV	42.52	12903	6610	2066	1139	486
HG02280	AFR	ACB	40.31	14947	9077	4178	2284	970
HG02293	AMR	PEL	39.25	12664	6408	1889	934	391
HG02392	EAS	CDX	36.47	13310	6843	1896	912	366
HG02572	AFR	GWD	37.01	14709	8963	4265	2381	965
HG02583	AFR	GWD	30.96	15075	9252	4063	2209	866
HG02602	SAS	PJL	40.52	13058	6732	2149	1185	529
HG02630	AFR	GWD	39.85	14732	9002	4179	2327	979
HG02698	SAS	PJL	41.46	12981	6743	2228	1228	562
HG02723	AFR	GWD	35.72	14985	9221	4274	2383	942
HG02818	AFR	GWD	33.47	14994	9177	4061	2248	931
HG02922	AFR	ESN	35.56	14684	8956	4203	2298	913
HG02984	AFR	GWD	37.83	14650	8892	4181	2427	1011
HG03017	SAS	PJL	37.85	13107	6832	2179	1146	492
HG03209	AFR	MSL	37.55	14923	9235	4486	2639	1133
HG03453	AFR	MSL	34.75	14825	9115	4343	2475	1054
HG03521	AFR	ESN	36.93	15008	9154	4017	2113	760
HG03710	SAS	PJL	36.29	12987	6690	2185	1195	562
HG03804	SAS	BEB	36.91	13238	6956	2321	1313	579
HG03816	SAS	BEB	33.82	13126	6882	2209	1245	527
HG04157	SAS	BEB	39.65	13097	6865	2299	1261	559
HG04228	SAS	STU	36.31	12933	6711	2302	1295	606
NA18505	AFR	YRI	38.4	15044	9176	4000	2090	774
NA18508	AFR	YRI	33.46	15504	9705	4369	2385	936
NA18608	EAS	CHB	36.09	13257	6842	1919	944	392
NA18620	EAS	CHB	35.03	13317	6887	1892	945	405
NA18948	EAS	JPT	37.19	13318	6885	1927	938	412
NA18952	EAS	JPT	34.26	13132	6733	1888	938	435
NA18960	EAS	JPT	36.01	13430	6978	1953	969	391
NA18974	EAS	JPT	36.77	13361	6936	1881	916	383
NA19240	AFR	YRI	29.4	15295	9425	4298	2336	971
NA19682	AMR	MXL	39.68	13350	6899	1926	922	353
NA19776	AMR	MXL	37.54	13600	7134	2037	967	356
NA19835	AFR	ASW	37.06	15198	9114	3896	2095	776
NA19909	AFR	ASW	32.73	15204	9227	3936	2104	804
NA20129	AFR	ASW	35.1	14816	8826	3602	1964	776
NA20282	AFR	ASW	29.9	14881	8880	3659	1909	664
NA20346	AFR	ASW	37.98	14799	8799	3686	1921	732
NA20762	EUR	TSI	32.7	13395	7085	2064	988	374
NA20806	EUR	TSI	37.02	13059	6759	1855	909	341
NA20809	EUR	TSI	31.35	13147	6833	1888	949	383
NA20870	SAS	GIH	34.89	13353	6935	1985	979	390
NA21093	SAS	GIH	37.69	13456	7059	2017	1003	406
NA21106	SAS	GIH	31.31	13123	6787	1949	974	384
NA21110	SAS	GIH	34.06	13469	7060	2052	1035	421
NA21309	UNKNOWN	UNKNOWN	34.01	14760	8826	3828	2180	1058
