window	max_motif_edits	max_fuzzy_motif	min_reference_identity	min_reference_copy_num	min_reference_length	min_purity	min_insertion_purity	min_motif_length	max_motif_length	min_rep_length	min_rep_units	n_rows	n_rows_pass	rows_known	rows_novel_motif	rows_novel_locus	n_loci	loci_known	loci_novel_motif	loci_novel_locus	frac_loci_novel	ucsc_loci_known	ucsc_loci_novel_motif	ucsc_loci_novel_locus	trexplorer_loci_known	trexplorer_loci_novel_motif	trexplorer_loci_novel_locus	objective	score
1	2	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	4518	4518	1975	1913	630	221	140	53	28	0.3665	123	66	32	131	58	32	agreement	0.7570093457943925
1	2	50	NA	NA	NA	0.8	NA	NA	NA	NA	NA	4518	2290	1634	344	312	175	128	23	24	0.2686	121	26	28	118	30	27	agreement	0.734375
1	2	50	NA	NA	NA	NA	0.5	NA	NA	NA	NA	4518	2334	1825	502	7	147	131	15	1	0.1088	118	25	4	123	22	2	agreement	0.43243243243243246
0	1	50	NA	NA	NA	NA	0.5	NA	NA	NA	NA	4518	2334	1552	752	30	147	119	24	4	0.1905	107	31	9	99	42	6	agreement	0.4666666666666667
10	0	50	NA	NA	NA	0.8	0.5	NA	NA	NA	NA	4518	1759	1146	613	0	131	95	36	0	0.2748	81	47	3	82	47	2	agreement	0.5714285714285714
1	2	50	NA	NA	NA	0.8	0.8	NA	NA	NA	NA	4518	1468	1313	148	7	105	99	5	1	0.0571	93	9	3	95	8	2	agreement	0.375
50	0	50	NA	NA	NA	NA	0.8	NA	NA	NA	NA	4518	1939	1177	762	0	116	87	29	0	0.25	65	50	1	81	33	2	agreement	0.5087719298245614
1	1	50	NA	NA	NA	0.8	NA	NA	NA	NA	NA	4518	2290	1514	464	312	175	125	26	24	0.2857	118	29	28	101	47	27	agreement	0.6172839506172839
0	2	50	NA	NA	NA	0.8	NA	NA	NA	NA	NA	4518	2290	1548	407	335	175	124	24	27	0.2914	115	27	33	114	30	31	agreement	0.7285714285714285
50	1	50	NA	NA	NA	NA	0.5	NA	NA	NA	NA	4518	2334	1855	479	0	147	131	16	0	0.1088	115	30	2	113	32	2	agreement	0.32
10	0	50	NA	NA	NA	NA	0.8	NA	NA	NA	NA	4518	1939	1012	927	0	116	80	36	0	0.3103	64	50	2	74	40	2	agreement	0.6206896551724138
0	0	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	4518	4518	1253	2609	656	221	101	88	32	0.543	81	102	38	89	95	37	agreement	0.7894736842105263
50	0	50	NA	NA	NA	0.8	0.5	NA	NA	NA	NA	4518	1759	1247	512	0	131	99	32	0	0.2443	82	47	2	86	43	2	agreement	0.5161290322580645
1	0	50	NA	NA	NA	0.8	NA	NA	NA	NA	NA	4518	2290	1145	833	312	175	99	52	24	0.4343	84	63	28	86	62	27	agreement	0.7307692307692307
0	0	50	NA	NA	NA	NA	0.8	NA	NA	NA	NA	4518	1939	938	975	26	116	74	39	3	0.3621	62	49	5	68	44	4	agreement	0.7
0	0	50	NA	NA	NA	0.8	0.8	NA	NA	NA	NA	4518	1468	888	554	26	105	72	30	3	0.3143	62	38	5	65	36	4	agreement	0.66
10	2	50	NA	NA	NA	NA	0.8	NA	NA	NA	NA	4518	1939	1534	405	0	116	108	8	0	0.069	95	19	2	104	10	2	agreement	0.32
0	0	50	NA	NA	NA	NA	0.5	NA	NA	NA	NA	4518	2334	1163	1141	30	147	93	50	4	0.3673	77	61	9	82	59	6	agreement	0.6666666666666666
