window	max_motif_edits	max_motif_edit_fraction	min_subrepeat_motif	max_fuzzy_motif	min_reference_identity	min_reference_copy_num	min_reference_length	min_purity	min_insertion_purity	min_motif_length	max_motif_length	min_rep_length	min_rep_units	n_rows	n_rows_pass	rows_known	rows_novel_motif	rows_novel_locus	rows_unscreened	n_loci	loci_known	loci_novel_motif	loci_novel_locus	loci_unscreened	frac_loci_novel	ucsc_loci_known	ucsc_loci_novel_motif	ucsc_loci_novel_locus	ucsc_loci_unscreened	trexplorer_loci_known	trexplorer_loci_novel_motif	trexplorer_loci_novel_locus	trexplorer_loci_unscreened
10	0	NA	NA	200	NA	NA	NA	NA	NA	NA	NA	NA	NA	4518	4518	2318	1579	621	0	221	114	81	26	0	0.4842	86	104	31	0	102	88	31	0
10	0	NA	NA	200	NA	NA	NA	0.8	0.8	NA	NA	NA	NA	4518	1468	923	545	0	0	105	75	30	0	0	0.2857	64	39	2	0	67	36	2	0
